# 1 Threshold
# 2 foundQuasars/Quasars
# 3 foundWD/WD
# 4 foundStars/Stars
# 5 Number of Quasars in test set
# 6 Number of WD in test set
# 7 Number of Stars in test set
# 8 Quasars outside Threshold
# 9 WD outside Threshold
# 10 Stars outside Threshold
# 11 fraction of data that remains after thresholding.
# 12 Number of correct id's
# 13 Number of wrong id's
# 14 Fraction of correct id's correct/(correct+wrong)
# 15 Number of quasars identified as quasars
# 16 Number of WD identified as quasars
# 17 Number of Stars identified as quasars
# 18 Number of quasars identified as WD
# 19 Number of WD identified as WD
# 20 Number of Stars identified as WD
# 21 Number of quasars identified as Stars
# 22 Number of WD identified as Stars
# 23 Number of Stars identified as Stars


0.0 0.992287343046 0.828148148148 1.01127733356 26839 3375 69786 0 0 0 1.0 98173 1827 0.98173 25956 545 131 37 2660 98 846 170 69557 
0.02 0.992287343046 0.828148148148 1.01127733356 26839 3375 69786 0 0 0 1.0 98173 1827 0.98173 25956 545 131 37 2660 98 846 170 69557 
0.04 0.992287343046 0.828148148148 1.01127733356 26839 3375 69786 0 0 0 1.0 98173 1827 0.98173 25956 545 131 37 2660 98 846 170 69557 
0.06 0.992287343046 0.828148148148 1.01127733356 26839 3375 69786 0 0 0 1.0 98173 1827 0.98173 25956 545 131 37 2660 98 846 170 69557 
0.08 0.992287343046 0.828148148148 1.01127733356 26839 3375 69786 0 0 0 1.0 98173 1827 0.98173 25956 545 131 37 2660 98 846 170 69557 
0.6 0.976824769924 0.775111111111 1.00779525979 26839 3375 69786 347 370 120 0.99163 97756 1407 0.985811240079 25746 387 84 12 2516 88 734 102 69494 
0.61 0.976191363315 0.772444444444 1.00742269223 26839 3375 69786 371 385 133 0.99111 97733 1378 0.986096396969 25738 380 82 11 2510 86 719 100 69485 
0.62 0.975110846157 0.766222222222 1.00716476084 26839 3375 69786 395 419 143 0.99043 97690 1353 0.986339266783 25723 368 80 10 2490 86 711 98 69477 
0.63 0.973955810574 0.763851851852 1.00689249993 26839 3375 69786 421 436 158 0.98985 97655 1330 0.986563620751 25703 363 74 10 2483 85 705 93 69469 
0.64 0.972726256567 0.759111111111 1.00657725045 26839 3375 69786 461 459 166 0.98914 97608 1306 0.986796611198 25678 357 72 10 2467 85 690 92 69463 
0.65 0.971608480197 0.756740740741 1.00630498954 26839 3375 69786 492 478 173 0.98857 97576 1281 0.987041888789 25659 347 71 9 2460 85 679 90 69457 
0.66 0.969969074854 0.754074074074 1.00600406958 26839 3375 69786 533 504 180 0.98783 97535 1248 0.987366247229 25631 332 70 7 2453 85 668 86 69451 
0.67 0.968404187935 0.750222222222 1.0056171725 26839 3375 69786 567 531 201 0.98701 97479 1222 0.987619173058 25604 320 67 7 2441 84 661 83 69434 
0.68 0.967323670778 0.744592592593 1.0054165592 26839 3375 69786 595 557 209 0.98639 97436 1203 0.987804012612 25583 313 66 7 2424 82 654 81 69429 
0.69 0.965721524647 0.741037037037 1.00518728685 26839 3375 69786 625 586 221 0.98568 97392 1176 0.988069150231 25559 297 63 6 2413 82 649 79 69420 
